title,domain,required_skills,tools,difficulty,description,career_alignment,tags,estimated_days,resources
Sentiment Analysis on Twitter,AI/ML,"python,nlp,machine learning,pandas,sklearn","Jupyter,VS Code",Intermediate,"Build a model to classify tweet sentiments as positive negative or neutral","Data Scientist,ML Engineer","nlp,classification,text,sentiment",30,https://kaggle.com
Image Classifier with CNN,AI/ML,"python,deep learning,tensorflow,numpy,opencv","Jupyter,Google Colab",Advanced,"Train a convolutional neural network to classify images into categories","ML Engineer,AI Researcher","cnn,image,deep learning,tensorflow",45,https://tensorflow.org
Chatbot with NLP,AI/ML,"python,nlp,flask,machine learning,json","VS Code,Jupyter",Intermediate,"Build a rule-based and ML-powered chatbot for FAQs","ML Engineer,Data Scientist","nlp,chatbot,flask,text",35,https://nltk.org
House Price Prediction,AI/ML,"python,machine learning,pandas,sklearn,numpy","Jupyter,VS Code",Beginner,"Predict house prices using regression models on real estate data","Data Scientist,Data Analyst","regression,prediction,sklearn,pandas",20,https://kaggle.com
Fake News Detector,AI/ML,"python,nlp,sklearn,pandas,machine learning","Jupyter,VS Code",Intermediate,"Classify news articles as real or fake using NLP techniques","Data Scientist,ML Engineer","nlp,classification,fake news,text",28,https://kaggle.com
Stock Price Predictor,AI/ML,"python,machine learning,pandas,numpy,matplotlib","Jupyter,VS Code",Advanced,"Use LSTM or linear models to predict stock market trends","Data Scientist,Quantitative Analyst","time series,lstm,finance,prediction",40,https://kaggle.com
Customer Churn Prediction,AI/ML,"python,machine learning,pandas,sklearn,seaborn","Jupyter,VS Code",Intermediate,"Predict which customers are likely to leave a subscription service","Data Scientist,Business Analyst","classification,churn,sklearn,business",25,https://kaggle.com
Recommendation System,AI/ML,"python,machine learning,pandas,sklearn,numpy","Jupyter,VS Code",Advanced,"Build a collaborative filtering movie or product recommendation engine","ML Engineer,Data Scientist","recommendation,collaborative filtering,matrix",38,https://surprise.readthedocs.io
Portfolio Website,Web Dev,"html,css,javascript","VS Code,Figma",Beginner,"Build a personal portfolio to showcase projects and skills","Frontend Developer,Full Stack Developer","web,design,portfolio,html,css",7,https://freecodecamp.org
E-commerce Website,Web Dev,"html,css,javascript,react,nodejs","VS Code,Figma",Intermediate,"Full featured online store with cart login and payment integration","Full Stack Developer,Frontend Developer","react,ecommerce,nodejs,css",40,https://reactjs.org
Blog Platform,Web Dev,"html,css,javascript,nodejs,mongodb","VS Code,Postman",Intermediate,"Build a blogging platform with user auth posts and comments","Full Stack Developer,Backend Developer","node,mongo,blog,auth",30,https://nodejs.org
Weather App,Web Dev,"html,css,javascript,api","VS Code",Beginner,"Fetch and display real-time weather data using a public API","Frontend Developer","javascript,api,weather,html,css",10,https://openweathermap.org
Quiz App,Web Dev,"html,css,javascript,react","VS Code",Beginner,"Interactive quiz application with scoring and timer","Frontend Developer,Full Stack Developer","react,javascript,quiz,ui",12,https://reactjs.org
URL Shortener,Web Dev,"python,flask,sql,html,css","VS Code,Postman",Intermediate,"Build a URL shortening service with analytics dashboard","Backend Developer,Full Stack Developer","flask,sql,api,web",18,https://flask.palletsprojects.com
E-commerce REST API,Backend,"python,flask,sql,rest api,authentication","VS Code,Postman",Intermediate,"Design and build a product API with auth CRUD and pagination","Backend Developer,Full Stack Developer","api,flask,database,rest",21,https://flask.palletsprojects.com
Task Management API,Backend,"python,flask,sqlalchemy,rest api","VS Code,Postman",Beginner,"Build a to-do and task management REST API with user accounts","Backend Developer","api,flask,sql,rest,tasks",15,https://flask.palletsprojects.com
Real-time Chat App,Backend,"python,flask,socketio,javascript,html","VS Code",Advanced,"Build a real-time messaging app using WebSockets and Flask-SocketIO","Full Stack Developer,Backend Developer","websocket,chat,realtime,flask",35,https://flask-socketio.readthedocs.io
File Upload Service,Backend,"python,flask,sql,html,css","VS Code,Postman",Intermediate,"Build a secure file upload and management service with cloud storage","Backend Developer,DevOps Engineer","flask,storage,api,file",20,https://flask.palletsprojects.com
Intrusion Detection System,Cybersecurity,"python,networking,machine learning,pandas,sklearn","Wireshark,Python",Advanced,"Detect anomalous network activity using ML classification models","Security Analyst,ML Engineer","security,networking,anomaly,ids",45,https://kaggle.com
Password Manager CLI,Cybersecurity,"python,cryptography,sqlite","VS Code,Terminal",Intermediate,"Build a command line password manager with AES encryption","Security Engineer,Backend Developer","encryption,cryptography,cli,security",22,https://cryptography.io
Network Scanner,Cybersecurity,"python,networking,socket","VS Code,Terminal",Intermediate,"Build a port scanner and network topology mapper using Python sockets","Security Analyst,Network Engineer","networking,scanner,python,socket",18,https://docs.python.org
Vulnerability Report Dashboard,Cybersecurity,"python,flask,html,css,javascript,sql","VS Code,Burp Suite",Advanced,"Web dashboard to log track and visualize security vulnerabilities","Security Analyst,Full Stack Developer","security,dashboard,flask,reporting",35,https://flask.palletsprojects.com
Expense Tracker,Full Stack,"javascript,react,nodejs,mongodb,css","VS Code,MongoDB Compass",Intermediate,"Full stack app to track categorize and visualize personal expenses","Full Stack Developer,Frontend Developer","react,node,database,finance,charts",28,https://reactjs.org
Student Result System,Full Stack,"python,flask,sql,html,css,javascript","VS Code,Postman",Beginner,"Web app for teachers to enter and students to view exam results","Full Stack Developer,Backend Developer","flask,sql,web,education",20,https://flask.palletsprojects.com
Hospital Management System,Full Stack,"python,flask,sql,html,css,javascript","VS Code,Postman",Advanced,"Manage patients doctors appointments and billing in one web app","Full Stack Developer,Backend Developer","flask,sql,healthcare,management",50,https://flask.palletsprojects.com
Data Dashboard with Charts,Data Science,"python,pandas,matplotlib,seaborn,flask","Jupyter,VS Code",Intermediate,"Build an interactive data visualization dashboard from CSV datasets","Data Analyst,Data Scientist","dashboard,charts,pandas,visualization",22,https://plotly.com
EDA on Real Dataset,Data Science,"python,pandas,numpy,matplotlib,seaborn","Jupyter",Beginner,"Perform exploratory data analysis on a public dataset and present insights","Data Analyst,Data Scientist","eda,pandas,visualization,statistics",14,https://kaggle.com
COVID-19 Data Tracker,Data Science,"python,pandas,matplotlib,requests,flask","Jupyter,VS Code",Intermediate,"Fetch and visualize COVID-19 statistics using public APIs and charts","Data Analyst,Data Scientist","covid,api,visualization,pandas",18,https://ourworldindata.org
Cricket Stats Analyzer,Data Science,"python,pandas,matplotlib,numpy,seaborn","Jupyter,VS Code",Beginner,"Analyze IPL or international cricket player and team performance data","Data Analyst,Sports Analyst","cricket,sports,pandas,eda,statistics",16,https://kaggle.com
Android To-do App,Mobile,"java,android,sqlite,xml","Android Studio",Beginner,"Build a simple to-do list Android app with local database storage","Android Developer,Mobile Developer","android,java,sqlite,mobile",18,https://developer.android.com
Flutter Weather App,Mobile,"flutter,dart,api,http","VS Code,Android Studio",Intermediate,"Cross-platform weather app using Flutter and a weather API","Mobile Developer,Full Stack Developer","flutter,dart,mobile,api,weather",20,https://flutter.dev
React Native Expense App,Mobile,"javascript,react native,expo,api","VS Code,Expo",Intermediate,"Build a cross-platform expense tracking mobile app with charts","Mobile Developer,Full Stack Developer","react native,mobile,javascript,finance",25,https://reactnative.dev
CI/CD Pipeline Setup,DevOps,"linux,docker,github actions,yaml,bash","GitHub,Docker",Advanced,"Automate build test and deploy pipeline for a Python web app","DevOps Engineer,Backend Developer","devops,docker,cicd,automation,github",30,https://docs.github.com/actions
Docker Containerization,DevOps,"docker,linux,bash,yaml","Docker,Terminal",Intermediate,"Containerize a Flask application using Docker and Docker Compose","DevOps Engineer,Backend Developer","docker,container,linux,flask",20,https://docs.docker.com
Linux Server Monitor,DevOps,"python,linux,bash,psutil,flask","Terminal,VS Code",Intermediate,"Monitor CPU memory disk and network usage of a Linux server via web UI","DevOps Engineer,System Administrator","linux,monitoring,python,server",22,https://psutil.readthedocs.io
IoT Temperature Monitor,IoT,"python,raspberry pi,mqtt,sqlite,flask","Raspberry Pi,VS Code",Advanced,"Read temperature sensor data and display live on a web dashboard","IoT Engineer,Embedded Developer","iot,raspberry pi,sensor,mqtt,dashboard",40,https://mosquitto.org
Arduino LED Controller,IoT,"c++,arduino,serial communication","Arduino IDE",Beginner,"Control LED patterns using Arduino and serial commands from a PC","Embedded Developer,IoT Engineer","arduino,c++,hardware,led,embedded",10,https://arduino.cc
Smart Home Automation,IoT,"python,raspberry pi,flask,mqtt,html","Raspberry Pi,VS Code",Advanced,"Control home appliances remotely via a web interface using Raspberry Pi","IoT Engineer,Full Stack Developer","iot,smart home,flask,raspberry pi,automation",50,https://raspberrypi.org
Blockchain Voting System,Blockchain,"python,cryptography,flask,html,css","VS Code,Postman",Advanced,"Build a tamper-proof digital voting system using blockchain principles","Blockchain Developer,Backend Developer","blockchain,cryptography,voting,flask",45,https://docs.python.org
Library Management System,General,"python,flask,sql,html,css,javascript","VS Code,Postman",Beginner,"Manage books members and borrowing records in a web application","Full Stack Developer,Backend Developer","flask,sql,library,web,management",20,https://flask.palletsprojects.com
Credit Card Fraud Detection,AI/ML,"python,machine learning,pandas,sklearn,numpy","Jupyter,VS Code",Advanced,"Detect fraudulent transactions using classification models","Data Scientist,ML Engineer","fraud,classification,finance,ml",35,https://kaggle.com
Handwritten Digit Recognizer,AI/ML,"python,deep learning,cnn,tensorflow,numpy","Jupyter,Colab",Intermediate,"Recognize handwritten digits using CNN on MNIST dataset","ML Engineer,AI Engineer","cnn,image,deep learning,mnist",30,https://tensorflow.org
Personal Finance Dashboard,Data Science,"python,pandas,plotly,flask,sql","Jupyter,VS Code",Intermediate,"Interactive dashboard to track income expenses and savings","Data Analyst,Data Scientist","dashboard,finance,visualization,flask",25,https://plotly.com
Sales Forecasting System,Data Science,"python,time series,pandas,prophet,numpy","Jupyter,VS Code",Advanced,"Predict future sales trends using time series forecasting","Data Scientist,Business Analyst","forecasting,time series,prophet",32,https://facebook.github.io/prophet
Online Code Editor,Web Dev,"html,css,javascript,react,nodejs","VS Code",Advanced,"Build a browser-based code editor with syntax highlighting","Frontend Developer,Full Stack Developer","editor,react,javascript,web",35,https://reactjs.org
Social Media Clone,Web Dev,"html,css,javascript,react,nodejs,mongodb","VS Code",Advanced,"Build a mini social media platform with posts likes and comments","Full Stack Developer","social,react,node,web,fullstack",45,https://nodejs.org
Authentication System API,Backend,"python,flask,jwt,sqlalchemy","VS Code,Postman",Intermediate,"Build a secure authentication API using JWT tokens","Backend Developer","auth,jwt,security,api",18,https://flask.palletsprojects.com
Log Monitoring System,Backend,"python,flask,regex,sql,logging","VS Code",Intermediate,"Monitor and analyze server logs with filtering and alerts","Backend Developer,DevOps Engineer","logs,monitoring,flask,backend",20,https://docs.python.org
Malware Detection Tool,Cybersecurity,"python,machine learning,pefile,pandas","VS Code",Advanced,"Detect malicious files using static analysis and ML","Security Analyst,ML Engineer","malware,security,ml,analysis",40,https://kaggle.com
Phishing Detection System,Cybersecurity,"python,nlp,sklearn,flask","VS Code",Intermediate,"Detect phishing URLs and emails using ML models","Security Analyst","phishing,security,nlp,ml",28,https://kaggle.com
Job Portal System,Full Stack,"html,css,javascript,react,nodejs,mongodb","VS Code",Advanced,"Platform for job seekers and recruiters with authentication and listings","Full Stack Developer","jobs,portal,react,node,fullstack",40,https://nodejs.org
Online Learning Platform,Full Stack,"python,flask,sql,html,css,javascript","VS Code",Advanced,"Build an LMS with courses progress tracking and quizzes","Full Stack Developer","education,lms,flask,web",45,https://flask.palletsprojects.com
Movie Recommendation System,AI/ML,"python,ml,pandas,sklearn","Jupyter,VS Code",Intermediate,"Recommend movies based on user preferences using ML","Data Scientist,ML Engineer","recommendation,ml,collaborative filtering",30,https://surprise.readthedocs.io
Voice Assistant,AI/ML,"python,speech recognition,nlp,api","VS Code",Advanced,"Build a voice assistant that responds to commands","AI Engineer","voice,nlp,assistant,python",35,https://pypi.org/project/SpeechRecognition
Online Voting System,Blockchain,"solidity,web3,javascript,html","VS Code,Metamask",Advanced,"Decentralized voting system using blockchain smart contracts","Blockchain Developer","blockchain,voting,smart contract,web3",40,https://ethereum.org
Crypto Price Tracker,Blockchain,"python,api,flask,html,css","VS Code",Intermediate,"Track cryptocurrency prices in real time using APIs","Backend Developer,Blockchain Developer","crypto,api,flask,tracker",20,https://coingecko.com
Fitness Tracker App,Mobile,"kotlin,android,sqlite,api","Android Studio",Intermediate,"Track workouts calories and fitness goals","Mobile Developer","fitness,android,health,mobile",25,https://developer.android.com
Food Delivery App,Mobile,"flutter,dart,api,firebase","VS Code,Android Studio",Advanced,"Build a food ordering app with authentication and live tracking","Mobile Developer,Full Stack Developer","flutter,food,mobile,app",40,https://flutter.dev
Kubernetes Deployment,DevOps,"kubernetes,docker,linux,yaml","Terminal,Docker",Advanced,"Deploy scalable containerized applications using Kubernetes","DevOps Engineer","kubernetes,devops,containers",35,https://kubernetes.io
Infrastructure Monitoring Tool,DevOps,"python,flask,prometheus,grafana","VS Code",Advanced,"Monitor servers using Prometheus and visualize using Grafana","DevOps Engineer","monitoring,devops,grafana,python",30,https://grafana.com
Smart Parking System,IoT,"python,raspberry pi,opencv,sensors,flask","Raspberry Pi,VS Code",Advanced,"Detect parking availability using sensors and computer vision","IoT Engineer","iot,parking,opencv,sensors",45,https://opencv.org
Air Quality Monitor,IoT,"python,arduino,sensors,mqtt,flask","Arduino IDE,VS Code",Intermediate,"Monitor air pollution levels and display data on dashboard","IoT Engineer","iot,air quality,sensors,mqtt",30,https://arduino.cc
Game Recommendation System,AI/ML,"python,ml,pandas,sklearn","Jupyter,VS Code",Intermediate,"Recommend games based on user preferences and ratings","Data Scientist","recommendation,ml,games",28,https://surprise.readthedocs.io
Email Spam Classifier,AI/ML,"python,nlp,sklearn,pandas","Jupyter,VS Code",Beginner,"Classify emails as spam or not spam","Data Scientist","spam,nlp,classification",15,https://kaggle.com
Personal Knowledge Manager,Productivity,"python,flask,sqlite,html,css","VS Code",Intermediate,"Organize notes tasks and ideas in a single system","Full Stack Developer","productivity,notes,flask",20,https://flask.palletsprojects.com
Habit Tracker App,Productivity,"javascript,react,nodejs,mongodb","VS Code",Intermediate,"Track daily habits and visualize progress","Full Stack Developer","habits,tracker,react,node",25,https://reactjs.org